Symbol,Name,Probe_Count,Amplitude_24h,R2_24h,Phase_Hours,Mean_Expression,GSM1982275,GSM1982276,GSM1982277,GSM1982278,GSM1982279,GSM1982280,GSM1982281,GSM1982282
ARNTL,aryl hydrocarbon receptor nuclear translocator-like,1,0.790113,0.741801,20.122181,8.770953,9.574520,9.142685,8.628340,8.639378,7.718034,7.964822,8.852795,9.647048
CLOCK,clock homolog (mouse),1,0.348472,0.186757,2.968006,7.711689,8.290670,7.803843,7.545648,6.755124,8.341519,8.088195,7.030506,7.838009
PER1,period homolog 1 (Drosophila),1,0.589751,0.363244,6.218714,6.745453,7.192917,6.965093,6.650888,6.779822,7.355701,7.092235,6.845881,5.081087
PER2,period homolog 2 (Drosophila),16,0.126459,0.322338,12.101324,6.141510,6.258109,6.043692,6.141471,6.493371,6.074012,6.086296,5.943817,6.091311
PER3,period homolog 3 (Drosophila),1,0.339113,0.085343,5.236663,5.168435,4.539339,4.746214,4.021716,5.683765,5.751327,4.632572,6.570309,5.402241
CRY1,cryptochrome 1 (photolyase-like),1,0.253277,0.146203,1.167106,8.103200,8.528868,7.536001,7.532783,8.156107,8.171103,7.617073,8.707257,8.576412
CRY2,cryptochrome 2 (photolyase-like),1,1.631231,0.518145,4.634373,7.192574,7.890362,6.518583,7.420495,4.892910,9.194541,8.844519,7.759616,5.019568
NR1D1,"nuclear receptor subfamily 1, group D, member 1",1,0.463454,0.055109,5.769494,5.414422,5.148827,6.358109,6.277734,3.082580,7.277968,6.474146,4.109669,4.586346
