sample_id,GSM1982275,GSM1982276,GSM1982277,GSM1982278,GSM1982279,GSM1982280,GSM1982281,GSM1982282
GSM1982275,1.000000,0.813734,0.831042,0.760686,0.866161,0.774898,0.754552,0.739161
GSM1982276,0.813734,1.000000,0.793266,0.758862,0.742952,0.847443,0.719589,0.712632
GSM1982277,0.831042,0.793266,1.000000,0.746261,0.761363,0.745305,0.824249,0.710951
GSM1982278,0.760686,0.758862,0.746261,1.000000,0.713652,0.714787,0.689534,0.837640
GSM1982279,0.866161,0.742952,0.761363,0.713652,1.000000,0.769933,0.766436,0.746058
GSM1982280,0.774898,0.847443,0.745305,0.714787,0.769933,1.000000,0.743349,0.730293
GSM1982281,0.754552,0.719589,0.824249,0.689534,0.766436,0.743349,1.000000,0.717689
GSM1982282,0.739161,0.712632,0.710951,0.837640,0.746058,0.730293,0.717689,1.000000
